epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP75(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
170,33241.1,0.77964,0.95225,0.67083,0,0,0,0,0,0,0,0,0.00549333,0.00549333,0.00549333
171,33436.8,0.79507,0.9487,0.66546,0,0,0,0,0,0,0,0,0.00546667,0.00546667,0.00546667
172,33632.5,0.76783,0.95148,0.66854,0,0,0,0,0,0,0,0,0.00544,0.00544,0.00544
173,33827.9,0.81021,0.93454,0.6669,0,0,0,0,0,0,0,0,0.00541333,0.00541333,0.00541333
174,34023.6,0.80506,0.93847,0.66675,0,0,0,0,0,0,0,0,0.00538667,0.00538667,0.00538667
175,34219.3,0.76774,0.94709,0.66786,0,0,0,0,0,0,0,0,0.00536,0.00536,0.00536
176,34415,0.82629,0.94043,0.66785,0,0,0,0,0,0,0,0,0.00533333,0.00533333,0.00533333
177,34610.3,0.80994,0.93417,0.66914,0,0,0,0,0,0,0,0,0.00530667,0.00530667,0.00530667
178,34805.8,0.80605,0.93484,0.66894,0,0,0,0,0,0,0,0,0.00528,0.00528,0.00528
179,35001.3,0.78993,0.94234,0.66648,0,0,0,0,0,0,0,0,0.00525333,0.00525333,0.00525333
180,35197.2,0.78497,0.93534,0.66352,0,0,0,0,0,0,0,0,0.00522667,0.00522667,0.00522667
181,35392.4,0.777,0.93876,0.66639,0,0,0,0,0,0,0,0,0.0052,0.0052,0.0052
182,35588.3,0.79426,0.92825,0.66508,0,0,0,0,0,0,0,0,0.00517333,0.00517333,0.00517333
183,35783.2,0.77832,0.93375,0.66466,0,0,0,0,0,0,0,0,0.00514667,0.00514667,0.00514667
184,35979.3,0.78808,0.93641,0.66475,0,0,0,0,0,0,0,0,0.00512,0.00512,0.00512
185,36174.2,0.78966,0.93529,0.66592,0,0,0,0,0,0,0,0,0.00509333,0.00509333,0.00509333
186,36370,0.79789,0.93112,0.66638,0,0,0,0,0,0,0,0,0.00506667,0.00506667,0.00506667
187,36565.5,0.77112,0.93205,0.66834,0,0,0,0,0,0,0,0,0.00504,0.00504,0.00504
188,36761.2,0.76147,0.92637,0.66669,0,0,0,0,0,0,0,0,0.00501333,0.00501333,0.00501333
189,36956.5,0.78347,0.92801,0.66519,0,0,0,0,0,0,0,0,0.00498667,0.00498667,0.00498667
190,37151.6,0.78123,0.92018,0.66277,0,0,0,0,0,0,0,0,0.00496,0.00496,0.00496
